author,comment_count,id,is_kongu_related,is_palladam_related,like_count,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,parent_id,parties_mentioned,platform,reaction_count,region,reply_count,retweet_count,source,text,timestamp,title,type,url,view_count
Sathiyam News,,Jn7HYvf68Zs,True,,,neutral,0.7208,0.9302,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868696,Erode | MKStalin | DMK | ஈரோட்டில் முதலமைச்சர்... இன்று திறக்கப்படும் சிலை..,post,https://www.youtube.com/watch?v=Jn7HYvf68Zs,6298
KALAM TAMIL TV,,XXYfu4Vnhz4,True,,,neutral,0.8154,0.4651,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868696,ஈரோடு கிழக்கு யாருக்கு? திமுகவில் புதுமுகம் அறிமுகம். | Erode East DMK MLA ELECTION CANDIDATE list,post,https://www.youtube.com/watch?v=XXYfu4Vnhz4,9086
Malaimurasu Tv 24X7,,LYOGLAHgTFA,True,,,negative,0.5199,1.3953,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868696,'அறிக்கையை காப்பி அடிக்கும் ஈபிஎஸ்' - வெளுத்து வாங்கிய முத்துசாமி | EPS | ADMK | DMK | Erode,post,https://www.youtube.com/watch?v=LYOGLAHgTFA,224
Chanakyaa,,5plKbwwPjy8,True,,,neutral,0.826,1.8605,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868696,Erode East எங்களுக்கு தான்! ADMK வேட்பாளர் அதிரடி | TN Elections 2026 | EPS | DMK | Stalin,post,https://www.youtube.com/watch?v=5plKbwwPjy8,661
IBC Tamil,,dcV67Ch8jtE,True,,,neutral,0.7242,1.3953,,"dmk,admk,tvk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868040,Karur & Erode-ல் யார் யாருக்கு வாய்ப்பு..? | DMK | ADMK | TVK | Kalam Kannum Vetpalargal | IBC Tamil,post,https://www.youtube.com/watch?v=dcV67Ch8jtE,14427
Vikatan TV and Vikatan News,,OBBqsl_0RBg,True,,,neutral,0.8039,1.3953,,"dmk,admk,tvk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868040,"Erode : ADMK, DMK, NTK, TVK யார் யாருக்கு சீட்டு? | TN Election 360 updates | Vikatan TV",post,https://www.youtube.com/watch?v=OBBqsl_0RBg,34616
NewsTamil 24X7,,jEMAcAEO2WY,True,,,neutral,0.6172,0.4651,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868040,Erode East | களத்தில் இணையாத திமுக-தேமுதிக.! ஆடியோக்களுடன் OPEN STATEMENT.! | DMK DMDK Alliance,post,https://www.youtube.com/watch?v=jEMAcAEO2WY,32241
RV Charanya,,ddU7qadvW3o,False,,,neutral,0.8259,0.9302,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:28.868040,ஈரோடு Dmk வேட்பாளர்கள் | Stalin டிக் செய்த 3 பேர்! | யாருக்கு வாய்ப்பு ? | Dmk candidates 2026,post,https://www.youtube.com/watch?v=ddU7qadvW3o,33173
Thanthi TV,,mZBRPHYO0q8,True,,,neutral,0.7304,0.4651,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868040,Erode | DMK | BJP | திமுகவை வென்ற  பாஜக - அந்த சின்ன வித்தியாசம்.. 2026ல் யார்?,post,https://www.youtube.com/watch?v=mZBRPHYO0q8,7965
India Today,,Xov5ayshipA,True,,,negative,0.6363,2.3256,,"dmk,admk,tvk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868040,TVK Chief Vijay Calls DMK 'Evil Force' At Erode Rally; Ex-AIADMK Leader Sengottaiyan Joins Party,post,https://www.youtube.com/watch?v=Xov5ayshipA,10723
NewsTamil 24X7,,hzzHTs_YRhk,True,,,positive,0.4265,0.4651,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.867497,DMK | Election Campaign | Minister | Erode | DMK starts election campaign with a bang,post,https://www.youtube.com/watch?v=hzzHTs_YRhk,9024
ABP Nadu,,8a3td_y8928,True,,,neutral,0.6391,0.4651,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.867497,Erode East DMK Candidate | ஈரோடு கிழக்கு யாருக்கு?முட்டிமோதும் திமுகவினர் ரேஸில் முந்தும் கவுன்சிலர்,post,https://www.youtube.com/watch?v=8a3td_y8928,4777
NewsTamil 24X7,,ILZQP5paNqc,True,,,neutral,0.8336,1.3953,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:26.247887,"RDX | 2006, 2016 தேர்தல் முடிவுகள் 2026ல் எது எதிரொலிக்கும்? | DMK | TVK | ADMK | Election 2026",post,https://www.youtube.com/watch?v=ILZQP5paNqc,3077
Sun News,,9g44BRjeRMk,True,,,negative,0.46,1.8605,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.247887,அதிமுக ஒன்றிய செயலாளர் செய்த அதிர்ச்சி செயல்.. ஆட்சியர் அலுவலகம் ஓடிவந்த மக்கள் | ADMK | Tiruppur,post,https://www.youtube.com/watch?v=9g44BRjeRMk,3152
PuthiyathalaimuraiTV,,TwfqDbMnyOM,True,,,neutral,0.4903,1.8605,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.247887,#BIGBREAKING: EPS-க்கு எதிராக களமிறங்கிய தொண்டர்கள் | admk | eps | Tiruppur,post,https://www.youtube.com/watch?v=TwfqDbMnyOM,24396
LTP - Lets Talk Politics,,Tobqa05-dRQ,True,,,neutral,0.7662,2.3256,,"dmk,admk,tvk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.247887,Tiruppur (North) MLA - K  Vijayakumar - AIADMK (2021 - 2026),post,https://www.youtube.com/watch?v=Tobqa05-dRQ,238
Vikatan TV and Vikatan News,,BCr0UCFs9BA,True,,,neutral,0.8649,1.3953,,"dmk,admk,tvk",youtube,,chennai,,,scrapy_youtube,,2026-03-30T21:58:26.247887,"Chennai மாவட்ட தொகுதிகள் | ADMK, DMK, TVK, NTK யார் யாருக்கு சீட்டு? | TN Elections 360 updates",post,https://www.youtube.com/watch?v=BCr0UCFs9BA,20921
The News Minute,,_WnbrKLUmU0,True,,,neutral,0.6927,1.3953,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.247887,ADMK MLAs fight on stage at event in Tiruppur,post,https://www.youtube.com/watch?v=_WnbrKLUmU0,115072
NewsTamil 24X7,,Am07_U6IcmE,True,,,neutral,0.7911,0.9302,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.247887,#JUSTIN || திமுக MLA எடுத்த முடிவு! - திருப்பூரில் பரபரப்பு! | Tiruppur | DMK MLA,post,https://www.youtube.com/watch?v=Am07_U6IcmE,12534
NewsJ,,De7y6uDRxu4,True,,,negative,0.6896,1.8605,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.246885,திருப்பூரில் அதிமுக சார்பில் மாபெரும் கண்டன ஆர்ப்பாட்டம்... | ADMK Protest | Tiruppur | NewsJ,post,https://www.youtube.com/watch?v=De7y6uDRxu4,875
